

Run Date,Action,Symbol,Description,Type,Price ($),Quantity,Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
04/10/2026,"REINVESTMENT FIDELITY 500 INDEX FUND (FXAIX) (Cash)",FXAIX,"FIDELITY 500 INDEX FUND",Cash,236.87,0.754,,,,-178.66,98.85,
04/10/2026,"DIVIDEND RECEIVED FIDELITY 500 INDEX FUND (FXAIX) (Cash)",FXAIX,"FIDELITY 500 INDEX FUND",Cash,,0.000,,,,178.66,277.51,
03/31/2026,"REINVESTMENT FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash)",FDRXX,"FIDELITY GOVERNMENT CASH RESERVES",Cash,1,0.28,,,,-0.28,98.85,
03/31/2026,"DIVIDEND RECEIVED FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash)",FDRXX,"FIDELITY GOVERNMENT CASH RESERVES",Cash,,0.000,,,,0.28,98.85,
02/27/2026,"REINVESTMENT FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash)",FDRXX,"FIDELITY GOVERNMENT CASH RESERVES",Cash,1,0.25,,,,-0.25,98.57,
02/27/2026,"DIVIDEND RECEIVED FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash)",FDRXX,"FIDELITY GOVERNMENT CASH RESERVES",Cash,,0.000,,,,0.25,98.57,
01/30/2026,"REINVESTMENT FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash)",FDRXX,"FIDELITY GOVERNMENT CASH RESERVES",Cash,1,0.29,,,,-0.29,98.32,
01/30/2026,"DIVIDEND RECEIVED FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash)",FDRXX,"FIDELITY GOVERNMENT CASH RESERVES",Cash,,0.000,,,,0.29,98.32,
12/31/2025,"REINVESTMENT FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash)",FDRXX,"FIDELITY GOVERNMENT CASH RESERVES",Cash,1,0.29,,,,-0.29,98.03,
12/31/2025,"DIVIDEND RECEIVED FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash)",FDRXX,"FIDELITY GOVERNMENT CASH RESERVES",Cash,,0.000,,,,0.29,98.03,
12/19/2025,"REINVESTMENT FIDELITY 500 INDEX FUND (FXAIX) (Cash)",FXAIX,"FIDELITY 500 INDEX FUND",Cash,237.27,0.815,,,,-193.31,97.74,
12/19/2025,"DIVIDEND RECEIVED FIDELITY 500 INDEX FUND (FXAIX) (Cash)",FXAIX,"FIDELITY 500 INDEX FUND",Cash,,0.000,,,,193.31,291.05,
11/28/2025,"REINVESTMENT FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash)",FDRXX,"FIDELITY GOVERNMENT CASH RESERVES",Cash,1,0.27,,,,-0.27,97.74,
11/28/2025,"DIVIDEND RECEIVED FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash)",FDRXX,"FIDELITY GOVERNMENT CASH RESERVES",Cash,,0.000,,,,0.27,97.74,
10/31/2025,"REINVESTMENT FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash)",FDRXX,"FIDELITY GOVERNMENT CASH RESERVES",Cash,1,97.44,,,,-97.44,97.47,
10/31/2025,"DIVIDEND RECEIVED FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash)",FDRXX,"FIDELITY GOVERNMENT CASH RESERVES",Cash,,0.000,,,,97.44,97.47,
10/15/2025,"YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER FIDELITY 500 INDEX FUND (FXAIX) (Cash)",FXAIX,"FIDELITY 500 INDEX FUND",Cash,231.8,266.639,,,,-61807,0.03,10/16/2025
09/30/2025,"REINVESTMENT FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash)",FDRXX,"FIDELITY GOVERNMENT CASH RESERVES",Cash,1,199.87,,,,-199.87,61807.03,
09/30/2025,"DIVIDEND RECEIVED FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash)",FDRXX,"FIDELITY GOVERNMENT CASH RESERVES",Cash,,0.000,,,,199.87,61807.03,
08/29/2025,"REINVESTMENT FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash)",FDRXX,"FIDELITY GOVERNMENT CASH RESERVES",Cash,1,183.11,,,,-183.11,61607.16,
08/29/2025,"DIVIDEND RECEIVED FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash)",FDRXX,"FIDELITY GOVERNMENT CASH RESERVES",Cash,,0.000,,,,183.11,61607.16,



"The data and information in this spreadsheet is provided to you solely for your use and is not for distribution. The spreadsheet is provided for"
"informational purposes only, and is not intended to provide advice, nor should it be construed as an offer to sell, a solicitation of an offer to buy or a"
"recommendation for any security or insurance product by Fidelity or any third party. Data and information shown is based on information known to Fidelity as of the date it was"
"exported and is subject to change. It should not be used in place of your account statements or trade confirmations and is not intended for tax reporting"
"purposes. For more information on the data included in this spreadsheet, including any limitations thereof, go to Fidelity.com."

"Brokerage services are provided by Fidelity Brokerage Services LLC (FBS), 900 Salem Street, Smithfield, RI 02917. Custody and other services provided by National"
"Financial Services LLC (NFS). Both are Fidelity Investment companies and members SIPC, NYSE. Insurance products at Fidelity are distributed by"
"Fidelity Insurance Agency, Inc., and, for certain products, by Fidelity Brokerage Services, Member NYSE, SIPC."

Date downloaded 04/21/2026 10:29 am
